id,query,ground_truths,status,entities,relations,initial_symbol_candidates,final_candidates,results,grounding_candidates,vss_merged_candidates
4113,Show me publications on the structural characteristics of Bixbyite-based (La1−xLux)2O3 alloys.,"[1438804, 1184414]",FAILED,{},{},{},{},{},[],[]
7777,"Can you find more publications from the authors of ""Circular dichroism of a tilted U-shaped nanostructure"" that introduce novel metamaterials to manipulate optical transmission asymmetry?","[1690034, 1802778, 1761399]",FAILED,{},{},{},{},{},[],[]
6497,Does the Children's Hospital of Philadelphia have any publications in the realm of Physics addressing pediatric imaging methodologies?,[1361652],FAILED,{},{},{},{},{},[],[]
4655,Which publications from the Sukachev Institute of Forest address the topic of spin crossover in materials subjected to high pressure conditions?,"[1678737, 1817747]",FAILED,{},{},{},{},{},[],[]
7395,Show me articles by W Zabolotny on the performance of CMS resistive plate chambers.,[1587480],FAILED,{},{},{},{},{},[],[]
1762,Does Reykjavík University have any publications on the topic of THz frequency oscillations in vacuum microdiodes specifically within the context of Diode studies?,"[1406577, 1356969, 1213724]",FAILED,{},{},{},{},{},[],[]
9258,Does Dongbei University of Finance and Economics have any research papers on the photo-assisted growth of p-type ZnO films related to the study of ionization energy in materials science?,[1739119],FAILED,{},{},{},{},{},[],[]
5712,Show me publications from coauthors of 'Formation of supermassive primordial black holes by Affleck-Dine mechanism' that explore the nonlinear implications of primordial black hole formation using the same mechanism.,"[1852091, 1785135]",FAILED,{},{},{},{},{},[],[]
5307,Are there any publications from Bukovinian State Medical University authors on the topic of spatial-frequency analysis in blood plasma imagery?,[1581658],FAILED,{},{},{},{},{},[],[]
7930,Show me publications by Ari Sihvola related to plasmonic resonances in various geometries.,"[1719776, 1749314, 1494794, 1738538, 1575533, 1779277, 1619987]",FAILED,{},{},{},{},{},[],[]
4318,Does any Optics literature from Yokogawa Electric talk about a record-breaking breakdown voltage for diamond field-effect transistors when they were published?,[1718820],FAILED,{},{},{},{},{},[],[]
4412,Does any research from Wheelock College delve into the study of offset bars in late-type galaxies in the discipline of Astrophysics?,[1748850],FAILED,{},{},{},{},{},[],[]
2390,Does Arxiv have any papers from TRW Inc. exploring low-voltage dielectric elastomer actuators (DEAs) and their usage in membrane technologies?,[1624665],FAILED,{},{},{},{},{},[],[]
9015,"I'm keen on obtaining a selection of research papers that delve into the topic of flow instability within micro-channels in relation to restrictive flow orifice. In particular, I'm interested in exploring how these unstable flows at higher pressures can affect design considerations, particularly within applications such as lab-on-a-chip technologies.",[1403812],FAILED,{},{},{},{},{},[],[]
2969,"Could you locate publications that have a common coauthor with ""Measuring temperatures in a high concentration solar simulator – Demonstration of the principle"", belong to the same research area, and discuss a methodology for measuring surface temperatures in concentrated solar power systems?","[1832657, 1775190, 1317767]",FAILED,{},{},{},{},{},[],[]
11829,Which publications by Sigma-Aldrich researchers discuss microgravity experiments performed during parabolic flights?,[1733392],FAILED,{},{},{},{},{},[],[]
10903,"Show me papers exploring gamma-ray emitting active galactic nuclei as detected by high-energy astrophysics telescopes, that have a shared authorship with ""The Disappearance of a Narrow Mg II Absorption system in Quasar SDSS J165501.31+260517.4,"" and incorporate research using XMM-Newton data to study blazars.","[1775304, 1781011]",FAILED,{},{},{},{},{},[],[]
11496,Please find articles related to control logic with a focus on enhancing system reliability when faced with shading conditions.,"[1847187, 1677381]",FAILED,{},{},{},{},{},[],[]
12362,Could you show me the papers by Camila S. Machado which discuss Feynman rules in the context of quantum field theories or computations?,[1858588],FAILED,{},{},{},{},{},[],[]
2665,"Can I find any papers by coauthors of ""Role of surface recombination in affecting the efficiency of nanostructured thin-film solar cells"" that also explore enhancing light absorption and trapping strategies for better solar cell efficiency?","[1413233, 1763067, 1436236]",FAILED,{},{},{},{},{},[],[]
4706,Are there any research publications from Eastern Washington University that examine hydrogen bonding nuances in frustrated magnetic substances with a specific focus on Rotational symmetry?,[1801690],FAILED,{},{},{},{},{},[],[]
4758,"Which publications examining the regulation of droplet evaporation have been referenced in the study titled ""Influence of Bond Number on Behaviors of Liquid Drops Deposited onto Solid Substrates""?",[1246706],FAILED,{},{},{},{},{},[],[]
9054,Which publications from Wrocław University of Economics researchers focus on transitions in their studies?,"[1415369, 1251499, 1285527]",FAILED,{},{},{},{},{},[],[]
7838,Are there any research articles from Dresden University of Technology that analyze LHC data seeking novel resonances within the context of Quark-Gluon plasma?,[1612732],FAILED,{},{},{},{},{},[],[]
3937,"Looking for papers co-authored by contributors of ""Robust source-range estimation using the array/waveguide invariant and a vertical array"", that delve into noise correlation effects, within the domain of underwater acoustic signal processing.","[1302273, 1235714, 1268513, 1291183, 1230391, 1350842, 1485723]",FAILED,{},{},{},{},{},[],[]
11846,Are there any papers by the Singapore Ministry of Health researchers on quick gamma correction methods in medical imaging?,[1331482],FAILED,{},{},{},{},{},[],[]
8136,"Looking for research articles on macromolecular crowding, focusing on its impact on molecular mobility, chemical reactions, and gene expression in cellular environments.","[1223528, 1865643, 1550437, 1642447]",FAILED,{},{},{},{},{},[],[]
4663,Could you show me some papers studying the stability of silver nanoblocks in the Sulfidation field?,[1246892],FAILED,{},{},{},{},{},[],[]
12660,Exciton tunneling research articles by University of Northern British Columbia authors.,"[1323421, 1726942]",FAILED,{},{},{},{},{},[],[]
9078,"What research papers studying early uses of graphene are referenced in the paper titled ""Graphene-Oxide-Based Q-Switched Fiber Laser with Stable Five-Wavelength Operation""?","[1515264, 1266340, 1263624, 1409578, 1329710, 1373424, 1425778, 1561138, 1534196, 1589975, 1302682, 1321855]",FAILED,{},{},{},{},{},[],[]
10736,Show me publications by Lei Zheng comparing experimental and simulated thorium fission rates.,"[1749836, 1710733]",FAILED,{},{},{},{},{},[],[]
11250,Search for publications by Neeraj Tripathi focusing on the impact of polarization on GaN photocathodes.,"[1483765, 1315119]",FAILED,{},{},{},{},{},[],[]
11389,"What research papers discussing magnetic nanoparticle delivery with a magnetic field are referenced by ""Determination of the force acting on biocompatible ferrofluid droplets in inhomogeneous magnetic field""?","[1367745, 1690340, 1558149, 1593801, 1505545, 1703601, 1691098]",FAILED,{},{},{},{},{},[],[]
9519,"Are there any publications from the International Computer Science Institute on the topic of Solar cells, which use visualization techniques to analyse convolutional neural networks trained on wafer images?",[1859157],FAILED,{},{},{},{},{},[],[]
5883,Search for publications on nanomaterials synthesis by authors affiliated with Khadir Mohideen College.,"[1687412, 1692903]",FAILED,{},{},{},{},{},[],[]
8361,"Can you show me other research studies that have explored spatial control of inhomogeneous broadening to modify the properties of quantum well structures using ion irradiation, similar to what's covered in ""Ion-beam-assisted spatial modulation of inhomogeneous broadening of a quantum well resonance: excitonic diffraction grating""?","[1522539, 1865413, 1187135]",FAILED,{},{},{},{},{},[],[]
10939,"Can you show me the papers that the research ""Adaptive synchronization of chaos in permanent magnet synchronous motors based on passivity theory"" has referenced, specifically those discussing robust synchronization and control?","[1622713, 1642562, 1622817]",FAILED,{},{},{},{},{},[],[]
1576,Find papers authored by the same researchers as 'Thermotropic and lyotropic liquid crystalline phases of Guerbet branched-chain -D-glucosides' that explore the link between molecular structure and liquid crystalline properties.,"[1836037, 1225672, 1555340, 1570958, 1494160, 1400722, 1551959, 1679357]",FAILED,{},{},{},{},{},[],[]
12661,Find papers from Pittsburg State University researchers on dark matter exploration through gamma rays.,[1552857],FAILED,{},{},{},{},{},[],[]
